Rank,Player,Receptions,Targets,Receiving Yards,Yards Per Reception,Longest Reception,Receiving Touchdowns,Rush Attempts,Rushing Yards,Rushing Touchdowns,Fumbles Lost,Games Played,Total Fantasy Points,Fantasy Points Per Game,Roster Percentage
194,Josh Malone (FA),4,6,16,4,13,0,1,12,0,0,4,2.8,0.7,0.00%
195,Darrius Shepherd (FA),5,8,46,9.2,19,0,0,0,0,1,8,2.6,0.3,0.00%
196,Antonio Gandy-Golden (WAS),1,7,3,3,3,0,1,22,0,0,6,2.5,0.4,0.00%
197,Daurice Fountain (KC),2,3,23,11.5,12,0,0,0,0,0,5,2.3,0.5,0.00%
198,Penny Hart (SEA),1,1,3,3,3,0,1,19,0,0,13,2.2,0.2,0.00%
199,Antonio Callaway (FA),2,4,20,10,13,0,0,0,0,0,5,2,0.4,0.00%
200,Tommylee Lewis (NO),1,3,5,5,5,0,2,14,0,0,5,1.9,0.4,0.00%
201,Deontay Burnett (FA),3,4,19,6.3,10,0,0,0,0,0,2,1.9,1,0.00%
202,Donte Moncrief (HOU),1,2,15,15,15,0,1,4,0,0,6,1.9,0.3,0.00%
203,John Ross (NYG),2,7,17,8.5,15,0,0,0,0,0,3,1.7,0.6,0.10%
204,Jaleel Scott (FA),1,1,16,16,16,0,0,0,0,0,1,1.6,1.6,0.00%
205,James Proche II (BAL),1,3,14,14,14,0,0,0,0,0,14,1.4,0.1,0.00%
206,Keith Kirkwood (CAR),1,2,13,13,13,0,0,0,0,0,1,1.3,1.3,0.00%
207,Vyncint Smith (NYJ),1,3,13,13,13,0,0,0,0,0,7,1.3,0.2,0.00%
208,Cody Hollister (TEN),1,1,12,12,12,0,0,0,0,0,2,1.2,0.6,0.00%
209,Bennie Fowler III (SF),2,6,11,5.5,7,0,0,0,0,0,5,1.1,0.2,0.00%
210,Marcus Kemp (KC),1,1,11,11,11,0,0,0,0,0,10,1.1,0.1,0.00%
211,Gehrig Dieter (KC),1,2,10,10,10,0,0,0,0,0,4,1,0.3,0.00%
212,Trenton Irwin (CIN),1,2,5,5,5,0,0,0,0,0,1,0.5,0.5,0.00%
213,JoJo Natson (CLE),0,0,0,0,0,0,1,3,0,0,3,0.3,0.1,0.00%
214,Cyril Grayson Jr. (TB),0,3,0,0,0,0,0,0,0,0,3,0,0,0.00%
215,Reggie Begelton (FA),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
216,Isaiah Hodgins (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
217,Fred Brown (FA),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
218,Aaron Fuller (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
219,DeVonta Smith (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,89.40%
220,Jason Moore Jr. (LAC),0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
221,Alex Bachman (NYG),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
222,Malik Henry (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
223,Tom Kennedy (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
