Rank,Player,Rush Attempts,Rushing Yards,Rushing Yards Per Attempt,Longest Run,Rushing Touchdowns,Receptions,Targets,Receiving Yards,Yards Per Reception,Receiving Touchdowns,Fumbles Lost,Games Played,Total Fantasy Points,Fantasy Points Per Game,Roster Percentage
96,Ke'Shawn Vaughn (TB),26,109,4.2,19,0,5,10,34,6.8,1,1,10,18.3,1.8,0.10%
97,D'Ernest Johnson (CLE),33,166,5,28,0,3,4,14,4.7,0,0,16,18,1.1,25.90%
98,C.J. Ham (MIN),5,18,3.6,10,0,8,14,97,12.1,1,0,15,17.5,1.2,0.10%
99,Alec Ingold (LV),3,4,1.3,3,0,12,17,110,9.2,1,0,16,17.4,1.1,0.10%
100,Trayveon Williams (CIN),26,157,6,55,0,5,5,30,6,0,1,10,16.7,1.7,0.00%
101,Anthony McFarland Jr. (PIT),33,113,3.4,20,0,6,10,54,9,0,0,11,16.7,1.5,0.20%
102,Corey Clement (DAL),21,75,3.6,7,1,5,6,25,5,0,0,15,16,1.1,0.10%
103,D'Onta Foreman (TEN),22,95,4.3,15,0,1,1,5,5,1,0,6,16,2.7,38.60%
104,T.J. Yeldon (FA),10,70,7,34,0,1,4,22,22,1,0,3,15.2,5.1,0.00%
105,Tyler Ervin (FA),13,67,5.2,21,0,11,15,84,7.6,0,0,8,15.1,1.9,0.00%
106,Reggie Bonnafon (CAR),12,69,5.8,22,0,2,2,18,9,1,0,2,14.7,7.4,0.00%
107,Darrynton Evans (TEN),14,54,3.9,9,0,2,4,27,13.5,1,0,5,14.1,2.8,0.90%
108,LeSean McCoy (FA),10,31,3.1,14,0,15,19,101,6.7,0,0,10,13.2,1.3,2.00%
109,Mike Boone (DEN),11,59,5.4,19,1,2,2,10,5,0,0,16,12.9,0.8,0.70%
110,Ty Montgomery (NO),19,101,5.3,36,0,3,6,27,9,0,0,6,12.8,2.1,0.20%
111,Ryan Nall (CHI),3,0,0,0,0,8,9,67,8.4,1,0,15,12.7,0.8,0.00%
112,DeAndre Washington (FA),31,91,2.9,16,0,5,10,30,6,0,0,4,12.1,3,11.00%
113,Patrick Laird (MIA),13,72,5.5,17,0,10,12,68,6.8,0,1,16,12,0.8,0.00%
114,Troymaine Pope (FA),15,76,5.1,26,0,8,10,42,5.3,0,0,6,11.8,2,0.00%
115,Tarik Cohen (CHI),14,74,5.3,17,0,6,9,41,6.8,0,0,3,11.5,3.8,4.10%
116,J.J. Taylor (NE),23,110,4.8,28,0,1,2,4,4,0,0,6,11.4,1.9,1.10%
117,Jakob Johnson (NE),0,0,0,0,0,8,9,35,4.4,1,0,16,9.5,0.6,0.00%
118,Saquon Barkley (NYG),19,34,1.8,18,0,6,9,60,10,0,0,2,9.4,4.7,98.60%
119,Artavis Pierce (CHI),6,34,5.7,23,1,0,0,0,0,0,0,5,9.4,1.9,0.00%
120,Tevin Coleman (NYJ),28,53,1.9,12,0,4,5,34,8.5,0,0,8,8.7,1.1,38.90%
121,Justice Hill (FA),12,60,5,19,0,5,5,20,4,0,0,12,8,0.7,0.10%
122,Patrick Ricard (BAL),1,-1,-1,0,0,9,12,45,5,1,1,15,8,0.5,0.10%
123,C.J. Prosise (FA),10,19,1.9,7,0,5,5,18,3.6,1,1,10,7.7,0.8,0.00%
124,Reggie Gilliam (BUF),0,0,0,0,0,2,2,16,8,1,0,14,7.6,0.5,0.00%
125,Jaylen Samuels (HOU),9,28,3.1,6,0,9,14,46,5.1,0,0,14,7.4,0.5,0.10%
